date_label,rank,symbol,name,coin_id
2021-01-01_t100,24,NEAR,NEAR Protocol,near
2021-01-01_t100,25,APT,Aptos,aptos
2021-01-01_t100,26,WEETH,Wrapped eETH,wrapped-eeth
2021-01-01_t100,27,LTC,Litecoin,litecoin
2021-01-01_t100,28,UNI,Uniswap,uniswap
2021-01-01_t100,29,USDS,USDS,usds
2021-01-01_t100,30,CRO,Cronos,crypto-com-chain
2021-01-01_t100,31,ICP,Internet Computer,internet-computer
2021-01-01_t100,32,TAO,Bittensor,bittensor
2021-01-01_t100,33,XLM,Stellar,stellar
2021-01-01_t100,34,WIF,dogwifhat,dogwifcoin
2021-01-01_t100,35,ETC,Ethereum Classic,ethereum-classic
2021-01-01_t100,36,FET,Artificial Superintelligence Alliance,fetch-ai
2021-01-01_t100,37,KAS,Kaspa,kaspa
2021-01-01_t100,38,DAI,Dai,dai
2021-01-01_t100,39,WBT,WhiteBIT Coin,whitebit
2021-01-01_t100,40,POL,POL (ex-MATIC),polygon-ecosystem-token
2021-01-01_t100,41,USDE,Ethena USDe,ethena-usde
2021-01-01_t100,42,STX,Stacks,blockstack
2021-01-01_t100,43,BONK,Bonk,bonk
2021-01-01_t100,44,RENDER,Render,render-token
2021-01-01_t100,45,XMR,Monero,monero
2021-01-01_t100,46,OKB,OKB,okb
2021-01-01_t100,47,AAVE,Aave,aave
2021-01-01_t100,48,ARB,Arbitrum,arbitrum
2021-01-01_t100,49,FIL,Filecoin,filecoin
2021-01-01_t100,50,MNT,Mantle,mantle
2021-01-01_t100,51,INJ,Injective,injective-protocol
2021-01-01_t100,52,FLOKI,FLOKI,floki
2021-01-01_t100,53,FDUSD,First Digital USD,first-digital-usd
2021-01-01_t100,54,HBAR,Hedera,hedera-hashgraph
2021-01-01_t100,55,VET,VeChain,vechain
2021-01-01_t100,56,TIA,Celestia,celestia
2021-01-01_t100,57,IMX,Immutable,immutable-x
2021-01-01_t100,58,OP,Optimism,optimism
2021-01-01_t100,59,FTM,Fantom,fantom
2021-01-01_t100,60,ATOM,Cosmos Hub,cosmos
2021-01-01_t100,61,BGB,Bitget Token,bitget-token
2021-01-01_t100,62,RUNE,THORChain,thorchain
2021-01-01_t100,63,WETH,Binance-Peg WETH,binance-peg-weth
2021-01-01_t100,64,SEI,Sei,sei-network
2021-01-01_t100,65,POPCAT,Popcat,popcat
2021-01-01_t100,66,GRT,The Graph,the-graph
2021-01-01_t100,67,RETH,Rocket Pool ETH,rocket-pool-eth
2021-01-01_t100,68,ENA,Ethena,ethena
2021-01-01_t100,69,PNUT,Peanut the Squirrel,peanut-the-squirrel
2021-01-01_t100,70,JUP,Jupiter,jupiter-exchange-solana
2021-01-01_t100,71,METH,Mantle Staked Ether,mantle-staked-ether
2021-01-01_t100,72,PYTH,Pyth Network,pyth-network
2021-01-01_t100,73,WLD,Worldcoin,worldcoin-wld
2021-01-01_t100,74,EZETH,Renzo Restaked ETH,renzo-restaked-eth
2021-01-01_t100,75,SOLVBTC,Solv Protocol SolvBTC,solv-btc
