symbol,market_cap,volume_24h,price,date_label,rank
JTO,3095478761.72665,4014905.7428,3.09547876172665,2023-03-13_t100,72
1000SATS,,,,2023-03-13_t100,73
APE,1164161602.13745,4673910.45429018,1.16416160213745,2023-03-13_t100,74
ARKM,2054281600.87715,1249141.02437,2.05428160087715,2023-03-13_t100,75
CETUS,,,,2023-03-13_t100,76
BRETT,,,,2023-03-13_t100,77
IO,1731826098.4051528,264949.22,2.164782636319968,2023-03-13_t100,78
CRO,4866548980.1838,351785639.8,0.16221829933946,2023-03-13_t100,79
GOAT,,,,2023-03-13_t100,80
ICP,4392566762.155584,1580599.98172439,8.35805319418164,2023-03-13_t100,81
MYRO,144376084.74878654,865767.0,0.14438,2023-03-13_t100,82
JASMY,991519863.508275,1335006892.93869,0.0198303972701655,2023-03-13_t100,83
MKR,1344403960.0492198,4524.2851106,1476.15950501985,2023-03-13_t100,84
